你	ты (nǐ)
好	хорошо (hǎo)
吗	вопросительная частица (ma)
我	я (wǒ)
很	очень (hěn)
呢	модальная частица （ne)
也	тоже, также (yě)
忙	занятой (máng)
不	нет, не (bù)
哥哥	старший брат (gēge)
他	он (tā)
弟弟	младший брат (dìdi)
们	суффикс множественного числа (men)
都	все, всё (dōu)
这	это, этот (zhè)
是	есть, являться, быть (shì)
朋友	друг (péngyou)
爸爸	папа (bàba)
妈妈	мама (māma)
大夫	доктор; врач (dàifu)
的	служебное слово (de)
车	машина (chē)
那	то, тот (nà)
她	она (tā)
书	книга (shū)
哪	который, какой (nǎ)
国	страна, государство (guó)
人	человек; люди (rén)
谁	кто (shéi)
老师	учитель (lǎoshī)
汉语	китайский язык (hànyǔ)
什么	что, какой (shénme)
地图	карта (dìtú)
看	смотреть, читать (kàn)
请	просить, приглашать, пожалуйста (qǐng)
喝	пить (hē)
茶	чай (chá)
您	Вы (nín)
进	входить (jìn)
欢迎	приветствовать (huānyíng)
谢谢	спасибо (xièxie)
客气	вежливый (kèqi）
吸烟	курить (xīyān)
