月	месяц (yuè)
日	день, число, месяц (rì)
生日	день рождения (shēngrì)
今天	сегодня (jīntiān)
班	группа, класс (bān)
辅导	давать консультацию, консультация (fǔdǎo)
号	номер (hào)
空儿	свободное время (kòngr)
今年	этот год (jīnnián)
岁	лета, возраст (suì)
祝贺	поздравлять (zhùhè)
舞会	танцы, бал (wǔhuì)
会	собрание, совещание (huì)
参加	участвовать, принимать участие (cānjiā)
同学	одноклассник (tóngxué)
一定	определенный, установленный, обязательно, наверняка (yídìng)
有意思	интересно, интересный (yǒuyìsi)
星期	неделя (xīngqī)
星	звезда (xīng)
期	период, срок (qī)
星期日	воскресенье (xīngqīrì)
知道	знать (zhīdào)
地址	адрес (dìzhǐ)
年	год (nián)
结婚	жениться, вступать в брак (jiéhūn)
对不起	извините, виноват (dùbuqǐ)
约会	назначенная встреча, свидание (yuēhuì)
没关系	(вежл.) не имеет значения, ничего страшного (méiguānxi)
谈	разговаривать, беседовать, обсуждать (tán)
